timestamp,cpu_total_pct
2026-09-22T23:58:17.7313429-05:00,93.8
2026-09-22T23:58:22.7533851-05:00,74.8
2026-09-22T23:58:27.7714636-05:00,68.9
2026-09-22T23:58:32.7819217-05:00,88.0
2026-09-22T23:58:37.8090437-05:00,79.8
2026-09-22T23:58:42.8337530-05:00,65.1
2026-09-22T23:58:47.8504302-05:00,81.1
2026-09-22T23:58:52.8819172-05:00,95.7
2026-09-22T23:58:57.9106512-05:00,71.1
2026-09-22T23:59:02.9402227-05:00,96.6
2026-09-22T23:59:07.9609214-05:00,88.1
2026-09-22T23:59:12.9847767-05:00,94.5
2026-09-22T23:59:18.0989579-05:00,100.0
2026-09-22T23:59:23.1117732-05:00,86.2
2026-09-22T23:59:28.1419553-05:00,66.5
2026-09-22T23:59:33.1635038-05:00,88.4
2026-09-22T23:59:38.1829876-05:00,86.4
2026-09-22T23:59:43.2075034-05:00,87.4
2026-09-22T23:59:48.2241204-05:00,98.9
2026-09-22T23:59:53.2418667-05:00,59.7
2026-09-22T23:59:58.2549810-05:00,69.9
2026-09-23T00:00:03.2785745-05:00,82.5
2026-09-23T00:00:08.2963839-05:00,88.5
2026-09-23T00:00:13.3202197-05:00,62.9
2026-09-23T00:00:18.3354747-05:00,69.2
2026-09-23T00:00:23.3612128-05:00,80.4
2026-09-23T00:00:28.3994723-05:00,99.0
2026-09-23T00:00:33.4269157-05:00,99.1
2026-09-23T00:00:38.4546922-05:00,96.4
2026-09-23T00:00:43.5045160-05:00,96.2
2026-09-23T00:00:48.5266972-05:00,97.5
2026-09-23T00:00:53.5591394-05:00,85.5
2026-09-23T00:00:58.5738503-05:00,91.2
2026-09-23T00:01:03.5943874-05:00,61.7
2026-09-23T00:01:08.6645736-05:00,100.0
2026-09-23T00:01:13.7045875-05:00,100.0
2026-09-23T00:01:18.7223158-05:00,90.5
2026-09-23T00:01:23.7456939-05:00,95.0
2026-09-23T00:01:28.7718833-05:00,88.1
2026-09-23T00:01:33.7868028-05:00,89.2
2026-09-23T00:01:38.8112351-05:00,93.3
2026-09-23T00:01:43.8453725-05:00,94.8
2026-09-23T00:01:48.8582967-05:00,94.6
2026-09-23T00:01:53.8732094-05:00,70.1
2026-09-23T00:01:58.8937591-05:00,91.9
2026-09-23T00:02:03.9175445-05:00,93.6
2026-09-23T00:02:08.9335098-05:00,96.2
2026-09-23T00:02:13.9622872-05:00,82.0
2026-09-23T00:02:18.9733997-05:00,85.2
2026-09-23T00:02:24.0149741-05:00,97.4
2026-09-23T00:02:29.0746193-05:00,98.0
2026-09-23T00:02:34.1033766-05:00,76.3
2026-09-23T00:02:39.1319620-05:00,50.1
2026-09-23T00:02:44.1455206-05:00,88.5
2026-09-23T00:02:49.1735432-05:00,83.2
2026-09-23T00:02:54.2029524-05:00,90.9
2026-09-23T00:02:59.2321265-05:00,89.1
2026-09-23T00:03:04.2585674-05:00,98.3
2026-09-23T00:03:09.2729083-05:00,96.2
2026-09-23T00:03:14.3110957-05:00,80.3
2026-09-23T00:03:19.3527013-05:00,93.2
2026-09-23T00:03:24.3619674-05:00,95.7
2026-09-23T00:03:29.3784912-05:00,81.8
2026-09-23T00:03:34.4104826-05:00,97.0
2026-09-23T00:03:39.4400723-05:00,85.5
2026-09-23T00:03:44.4552788-05:00,81.4
2026-09-23T00:03:49.4701061-05:00,70.6
2026-09-23T00:03:54.4853665-05:00,86.3
2026-09-23T00:03:59.5080586-05:00,77.4
2026-09-23T00:04:04.5420312-05:00,97.0
